bigram,freq
"('usually', 'a')",7
"('a', 'fan')",1
"('fan', 'of')",1
"('of', 'maeve')",1
"('maeve', 'but')",1
"('this', 'dress')",108
"('dress', 'is')",44
"('is', 'just')",22
"('just', 'bad')",1
"('bad', 'the')",4
"('fabric', 'is')",51
"('is', 'thin')",9
"('thin', 'and')",34
"('and', 'filmy')",1
"('filmy', 'and')",1
"('and', 'it')",83
"('it', 'stretch')",1
"('stretch', 'to')",2
"('to', 'sheer')",1
"('sheer', 'over')",1
"('over', 'your')",3
"('your', 'chest')",1
"('chest', 'the')",2
"('the', 'turtleneck')",1
"('turtleneck', 'is')",1
"('is', 'neither')",1
"('neither', 'tight')",1
"('tight', 'nor')",1
"('nor', 'loose')",1
"('loose', 'it')",1
"('it', 'just')",15
"('just', 'droop')",1
"('droop', 'in')",1
"('in', 'a')",43
"('a', 'most')",3
"('most', 'unfortunate')",1
"('unfortunate', 'way')",1
"('way', 'This')",1
"('This', 'is')",21
"('is', 'literally')",2
"('literally', 'the')",3
"('the', 'most')",8
"('most', 'unflattering')",4
"('unflattering', 'thing')",2
"('thing', 'i')",7
"('have', 'ever')",6
"('ever', 'tried')",5
"('tried', 'on')",11
"('on', 'from')",2
"('from', 'retailer')",11
"('retailer', 'the')",3
"('the', 'sleeve')",23
"('sleeve', 'are')",10
"('are', 'so')",10
"('so', 'weird')",3
"('weird', 'and')",2
"('and', 'ugly')",1
"('ugly', 'they')",1
"('they', 'get')",1
"('get', 'really')",1
"('really', 'fat')",1
"('fat', 'at')",1
"('at', 'the')",58
"('the', 'top')",56
"('top', 'like')",2
"('like', 'a')",84
"('a', 'dolman')",2
"('dolman', 'sleeve')",2
"('sleeve', 'but')",2
"('but', 'it')",52
"('it', 'look')",49
"('look', 'really')",4
"('really', 'strange')",1
"('strange', 'because')",2
"('because', 'they')",4
"('they', 'don')",4
"('t', 'flow')",1
"('flow', 'into')",1
"('into', 'the')",5
"('the', 'rest')",4
"('rest', 'of')",3
"('top', 'which')",3
"('which', 'is')",18
"('is', 'very')",61
"('very', 'structured')",1
"('structured', 'it')",1
"('it', 'made')",5
"('made', 'my')",3
"('shoulder', 'look')",2
"('look', 'huge')",2
"('huge', 'even')",1
"('even', 'though')",6
"('though', 'i')",5
"('have', 'very')",2
"('very', 'narrow')",1
"('narrow', 'shoulder')",1
"('shoulder', 'this')",1
"('not', 'apparent')",1
"('apparent', 'in')",1
"('model', 'picture')",1
"('picture', 'at')",1
"('at', 'all')",59
"('all', 'the')",31
"('the', 'thick')",1
"('thick', 'black')",1
"('black', 'seam')",1
"('seam', 'at')",2
"('the', 'shoulder')",18
"('shoulder', 'are')",2
"('are', 'also')",2
"('also', 'placed')",1
"('placed', 'in')",1
"('a', 'really')",4
"('really', 'awkward')",1
"('awkward', 'spot')",1
"('spot', 'which')",1
"('which', 'also')",1
"('also', 'contri')",1
"('contri', 'This')",1
"('This', 'run')",1
"('run', 'sooo')",1
"('sooo', 'big')",1
"('big', 'i')",6
"('i', 'normally')",8
"('normally', 'wear')",5
"('large', '145lb')",1
"('145lb', '5')",1
"('5', '4')",10
"('4', '36dd')",1
"('36dd', 'but')",1
"('but', 'due')",1
"('due', 'to')",7
"('to', 'the')",52
"('the', 'limited')",1
"('limited', 'sizing')",1
"('sizing', 'small')",1
"('small', 'or')",3
"('or', 'medium')",2
"('medium', 'i')",2
"('i', 'chose')",1
"('chose', 'small')",1
"('small', 'because')",2
"('because', 'it')",18
"('it', 'looked')",36
"('looked', 'big')",1
"('big', 'on')",3
"('model', 'and')",4
"('and', 'this')",15
"('this', 'style')",2
"('style', 'of')",6
"('of', 'dress')",4
"('dress', 'seem')",1
"('seem', 'to')",3
"('to', 'run')",2
"('run', 'large')",7
"('large', 'the')",6
"('the', 'size')",9
"('small', 'that')",1
"('that', 'i')",34
"('ordered', 'couldve')",1
"('couldve', 'fit')",1
"('fit', 'two')",3
"('two', 'people')",1
"('people', 'easily')",1
"('easily', 'together')",1
"('together', 'i')",1
"('i', 'loved')",16
"('loved', 'the')",25
"('the', 'pattern')",9
"('pattern', 'color')",1
"('color', 'and')",12
"('the', 'slip')",5
"('slip', 'underneath')",2
"('underneath', 'actually')",1
"('actually', 'fit')",1
"('fit', 'well')",7
"('well', 'but')",3
"('but', 'i')",44
"('i', 'dont')",2
"('dont', 'want')",1
"('want', 'to')",7
"('to', 'look')",6
"('look', 'like')",58
"('like', 'im')",1
"('im', 'wearing')",1
"('wearing', 'a')",14
"('tent', 'lol')",1
"('lol', 'also')",1
"('also', 'the')",14
"('back', 'is')",7
"('is', 'slightly')",3
"('slightly', 'longer')",1
"('longer', 'than')",3
"('front', 'something')",1
"('something', 'i')",3
"('i', 'couldnt')",2
"('couldnt', 'see')",1
"('see', 'from')",1
"('from', 'the')",24
"('the', 'picture')",50
"('picture', 'online')",5
"('online', 'Even')",1
"('Even', 'at')",1
"('at', 'a')",9
"('a', 'very')",22
"('very', 'deep')",1
"('deep', 'discount')",1
"('discount', 'this')",1
"('this', 'piece')",7
"('piece', 'is')",2
"('is', 'definitely')",7
"('definitely', 'not')",6
