word,freq,Precentage,Total,80534,word,Precentage
review,15,0.019%,,,,
hitting,15,0.019%,,,,
amazed,15,0.019%,,,,
cinch,15,0.019%,,,,
paying,15,0.019%,,,,
fix,15,0.019%,,,,
happens,15,0.019%,,,,
describe,15,0.019%,,,,
imagined,15,0.019%,,,,
exceeded,15,0.019%,,,,
shorten,15,0.019%,,,,
shortened,15,0.019%,,,,
tends,15,0.019%,,,,
knitted,15,0.019%,,,,
spring,15,0.019%,,,,
snap,15,0.019%,,,,
swimming,15,0.019%,,,,
creating,15,0.019%,,,,
missed,15,0.019%,,,,
shed,15,0.019%,,,,
crossed,15,0.019%,,,,
happier,15,0.019%,,,,
reordered,14,0.017%,,,,
leaving,14,0.017%,,,,
boring,14,0.017%,,,,
figure,14,0.017%,,,,
contrasting,14,0.017%,,,,
striped,14,0.017%,,,,
wrinkled,14,0.017%,,,,
brings,14,0.017%,,,,
afraid,14,0.017%,,,,
light,14,0.017%,,,,
faded,14,0.017%,,,,
provide,14,0.017%,,,,
moving,14,0.017%,,,,
clothing,14,0.017%,,,,
sandal,14,0.017%,,,,
opening,14,0.017%,,,,
complement,14,0.017%,,,,
weave,14,0.017%,,,,
c,14,0.017%,,,,
plan,14,0.017%,,,,
fold,13,0.016%,,,,
dressy,13,0.016%,,,,
drying,13,0.016%,,,,
became,13,0.016%,,,,
unflattering,13,0.016%,,,,
spare,13,0.016%,,,,
snatched,13,0.016%,,,,
shop,13,0.016%,,,,
thigh,13,0.016%,,,,
inspired,13,0.016%,,,,
suspect,13,0.016%,,,,
covering,13,0.016%,,,,
fixed,13,0.016%,,,,
heeled,13,0.016%,,,,
ruffled,13,0.016%,,,,
drawstring,13,0.016%,,,,
created,13,0.016%,,,,
outfit,13,0.016%,,,,
combined,13,0.016%,,,,
saturated,13,0.016%,,,,
blue,13,0.016%,,,,
classy,12,0.015%,,,,
suppose,12,0.015%,,,,
tall,12,0.015%,,,,
vary,12,0.015%,,,,
Tried,12,0.015%,,,,
dancing,12,0.015%,,,,
pleated,12,0.015%,,,,
matched,12,0.015%,,,,
skinny,12,0.015%,,,,
chest,12,0.015%,,,,
folded,12,0.015%,,,,
back,12,0.015%,,,,
broke,12,0.015%,,,,
round,12,0.015%,,,,
kinda,12,0.015%,,,,
boxy,12,0.015%,,,,
prettier,12,0.015%,,,,
sew,12,0.015%,,,,
grey,12,0.015%,,,,
admit,12,0.015%,,,,
included,12,0.015%,,,,
mix,12,0.015%,,,,
bathing,12,0.015%,,,,
awesome,12,0.015%,,,,
deciding,12,0.015%,,,,
right,12,0.015%,,,,
denim,12,0.015%,,,,
shouldered,11,0.014%,,,,
rock,11,0.014%,,,,
impressed,11,0.014%,,,,
comfortable,11,0.014%,,,,
guessing,11,0.014%,,,,
spent,11,0.014%,,,,
asking,11,0.014%,,,,
leg,11,0.014%,,,,
featured,11,0.014%,,,,
tailoring,11,0.014%,,,,
beading,11,0.014%,,,,
thank,11,0.014%,,,,
pilcro,11,0.014%,,,,
opposed,11,0.014%,,,,
discovered,11,0.014%,,,,
le,11,0.014%,,,,
ironing,11,0.014%,,,,
blend,11,0.014%,,,,
camouflage,11,0.014%,,,,
riding,11,0.014%,,,,
threw,11,0.014%,,,,
busty,11,0.014%,,,,
constricting,11,0.014%,,,,
amp,11,0.014%,,,,
meet,11,0.014%,,,,
stuck,11,0.014%,,,,
drew,11,0.014%,,,,
struggle,11,0.014%,,,,
splurge,11,0.014%,,,,
changed,11,0.014%,,,,
toned,11,0.014%,,,,
knowing,11,0.014%,,,,
clean,10,0.012%,,,,
reviewed,10,0.012%,,,,
zipping,10,0.012%,,,,
appeared,10,0.012%,,,,
pushed,10,0.012%,,,,
frumpy,10,0.012%,,,,
padded,10,0.012%,,,,
wonder,10,0.012%,,,,
risk,10,0.012%,,,,
needing,10,0.012%,,,,
intrigued,10,0.012%,,,,
airy,10,0.012%,,,,
warms,10,0.012%,,,,
draping,10,0.012%,,,,
stumbled,10,0.012%,,,,
earring,10,0.012%,,,,
balance,10,0.012%,,,,
sat,10,0.012%,,,,
carried,10,0.012%,,,,
coat,10,0.012%,,,,
warned,10,0.012%,,,,
appreciated,10,0.012%,,,,
enhance,10,0.012%,,,,
lounge,10,0.012%,,,,
ripped,10,0.012%,,,,
tunic,10,0.012%,,,,
missing,10,0.012%,,,,
requires,10,0.012%,,,,
snagging,10,0.012%,,,,
printed,10,0.012%,,,,
bend,10,0.012%,,,,
sleeping,10,0.012%,,,,
allowing,10,0.012%,,,,
reaching,10,0.012%,,,,
thanksgiving,10,0.012%,,,,
trim,10,0.012%,,,,
wow,10,0.012%,,,,
splurged,10,0.012%,,,,
shrunk,10,0.012%,,,,
notice,10,0.012%,,,,
legged,10,0.012%,,,,
convinced,10,0.012%,,,,
tucking,10,0.012%,,,,
detailed,10,0.012%,,,,
intended,10,0.012%,,,,
build,10,0.012%,,,,
finished,10,0.012%,,,,
wondering,10,0.012%,,,,
twirling,10,0.012%,,,,
scratchy,10,0.012%,,,,
contemplating,10,0.012%,,,,
opt,10,0.012%,,,,
wool,10,0.012%,,,,
appropriate,10,0.012%,,,,
tapered,9,0.011%,,,,
shipped,9,0.011%,,,,
b,9,0.011%,,,,
shade,9,0.011%,,,,
push,9,0.011%,,,,
cant,9,0.011%,,,,
glad,9,0.011%,,,,
woven,9,0.011%,,,,
assumed,9,0.011%,,,,
jumped,9,0.011%,,,,
written,9,0.011%,,,,
wrap,9,0.011%,,,,
annoying,9,0.011%,,,,
l,9,0.011%,,,,
slender,9,0.011%,,,,
scared,9,0.011%,,,,
Received,9,0.011%,,,,
remind,9,0.011%,,,,
adjusting,9,0.011%,,,,
planned,9,0.011%,,,,
grabbing,9,0.011%,,,,
popped,9,0.011%,,,,
touch,9,0.011%,,,,
watch,9,0.011%,,,,
replace,9,0.011%,,,,
pointed,9,0.011%,,,,
depicted,9,0.011%,,,,
cuff,9,0.011%,,,,
becomes,9,0.011%,,,,
ensure,9,0.011%,,,,
peek,9,0.011%,,,,
elevates,9,0.011%,,,,
meaning,9,0.011%,,,,
e,9,0.011%,,,,
beat,9,0.011%,,,,
draw,9,0.011%,,,,
hugged,9,0.011%,,,,
waist,9,0.011%,,,,
plaid,9,0.011%,,,,
well,9,0.011%,,,,
bottom,9,0.011%,,,,
fyi,9,0.011%,,,,
frayed,9,0.011%,,,,
im,9,0.011%,,,,
struck,8,0.010%,,,,
flimsy,8,0.010%,,,,
deal,8,0.010%,,,,
breasted,8,0.010%,,,,
stating,8,0.010%,,,,
sophisticated,8,0.010%,,,,
enjoyed,8,0.010%,,,,
easy,8,0.010%,,,,
liking,8,0.010%,,,,
justify,8,0.010%,,,,
prevent,8,0.010%,,,,
emphasize,8,0.010%,,,,
