before lemma words,before freq,after freq
absolutely,15,15
garish,1,1
beads,1,0
ties,1,0
antebellum,1,1
nightmare,1,1
considered,3,3
adding,2,2
horrified,1,1
reference,8,8
approximately,1,1
height,5,5
shorter,6,6
depictes,1,1
Thought,2,2
warm,5,5
alas,3,0
curves,6,0
8,16,16
tad,3,3
sport,1,3
swingy,3,3
detailing,1,1
Don,2,2
fooled,3,3
bright,7,7
pale,4,4
beautifully,3,3
bulky,11,11
afraid,1,1
fears,1,0
came,26,26
listened,3,3
previous,13,13
reviewers,17,0
dimensional,1,1
realized,3,3
mistake,6,6
poofy,2,2
close,7,7
bother,3,3
polka,1,1
dots,1,0
mismatch,1,1
totally,8,8
error,1,1
hoped,2,2
nope,3,3
every,15,15
unsee,1,1
review,21,67
reminder,1,1
prairie,1,1
available,7,7
interested,1,1
thinking,4,4
fullness,2,2
re,14,14
inspired,1,1
pronounced,1,1
secondly,4,4
whatsoever,2,2
unlike,4,4
bells,1,0
honestly,3,3
pregnant,9,9
insult,1,1
female,2,2
shapeless,16,16
frocks,1,0
f,3,3
pressed,2,2
sat,2,2
entire,8,8
day,15,20
again,15,15
After,7,7
reading,9,9
confident,1,1
ordering,8,8
today,15,15
never,19,19
vibrant,6,6
hawaii,1,1
drab,4,4
working,1,1
average,2,2
woman,3,7
32c,1,1
tall,14,14
0,8,8
ginormous,2,2
wedding,7,8
unless,10,10
carrying,2,2
tr,1,1
bunching,2,2
sides,11,0
ridiculous,6,6
anyone,11,11
triangle,2,2
poking,1,1
each,5,5
lean,3,3
skirts,5,0
strangely,1,1
constructed,1,1
deeply,2,2
discounted,2,2
1,13,13
typically,3,3
132,1,1
strings,3,0
start,4,5
begins,1,0
unravel,3,3
appropriate,4,4
brunch,1,1
million,2,2
snags,6,0
hanging,6,6
begin,5,6
annoyed,1,1
spent,2,2
Huge,1,1
bountiful,1,1
amounts,1,0
mo,1,1
puppy,1,1
jumped,2,2
snagged,4,4
several,5,5
places,5,0
Agree,4,4
massive,4,4
cape,1,1
room,5,5
spare,2,2
unlined,6,6
itches,3,0
floored,2,2
positive,6,6
comments,2,0
culottes,1,0
who,15,15
rail,1,1
those,11,11
us,1,0
12,9,9
20,6,6
bummed,8,8
regular,15,15
course,2,2
didnt,2,2
tee,8,11
sold,4,4
warped,1,1
lie,2,2
having,5,5
tees,3,0
befo,1,1
mentioned,5,5
ruin,2,2
idea,13,13
misplaced,1,1
ponte,1,1
stand,4,7
gaping,4,4
otherwise,4,4
total,5,5
loss,1,1
Comments,1,1
dragonflies,1,0
trouble,2,2
imo,1,1
tank,9,10
notice,1,1
swept,1,1
bc,3,3
Totally,2,2
hoping,10,10
tunic,5,6
best,5,5
stick,5,7
awkwardly,2,2
Unfortunately,2,2
needs,5,0
mind,5,5
gone,8,8
believe,9,9
calling,1,1
called,3,3
flowing,2,2
lifeless,1,1
find,16,16
justice,1,1
wait,5,5
local,7,7
thru,6,6
lying,2,2
layers,4,0
Absolutely,2,2
underside,2,2
stitching,8,8
outside,4,4
mustard,3,3
cold,8,8
water,12,12
bled,2,2
area,26,28
b,6,6
c,7,7
From,1,1
embroidered,3,3
reality,3,3
stamped,1,1
tiny,4,4
sequins,2,0
printed,1,1
